valg,fylke,partikode,partinavn,kandidatnr,navn,bosted,stilling,fødselsår,kjønn
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;32;Rune Midtun;Skudeneshavn;"";1973;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;33;Aleksander Egeli;Hauge i Dalane;"";1995;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;34;Svein Zwygart;Moi;"";1974;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;35;Elisabeth Stene;Sandnes;"";1974;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;36;Bente Tjøsvoll;Vedavågen;"";1970;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;37;Jørn Kyle Finnesand;Mosterøy;"";1988;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;38;Åsmund Sandvik;Nedstrand;"";1968;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;39;Wenche-Lill Frette;Sauda;"";1954;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;40;Lars Birger Baustad;Aksdal;"";1966;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;41;Mats Årvik;Ølen;"";1993;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;42;Tore Andreas Haaland;Sandnes;"";1963;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;1;Ole Ueland;Sola;"";1983;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;2;Elin Schanche;Rennesøy;"";1961;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;3;Aase Simonsen;Karmøy;"";1962;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;4;Erlend Jordal;Stavanger;"";1979;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;5;Inger Merethe Bjerkreim;Bjerkreim;"";1971;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;6;Bjørn Sæstad;Klepp;"";1961;Mann
